Bus Monitor Log File,,,,
Date: 7/27/2021 2:33:17 PM,,,,
 ,,,,
---------------------------------------------------,,,,
 ,,,,
Date, ID, Counts, Data, MsgType
31:49.0,0x1,CAN 1,1,00 00 00 08 
31:49.0,0x1,CAN 1,2,00 00 00 00 
31:49.1,0x1,CAN 1,3,00 00 00 08 
31:49.1,0x1,CAN 1,4,00 04 00 08 
31:49.1,0x1,CAN 1,5,00 00 00 08 
31:49.1,0x1,CAN 1,6,00 00 00 00 
31:49.1,0x168,CAN 1,1,CE 00 00 00 00 00 00 00 
31:49.1,0x168,CAN 1,2,D6 00 04 00 00 00 00 01 
31:49.2,0x168,CAN 1,3,FE 00 08 00 00 00 00 02 
31:49.2,0x168,CAN 1,4,E6 00 0C 00 00 00 00 03 
31:49.2,0x168,CAN 1,5,AE 00 10 00 00 00 00 04 
31:49.2,0x168,CAN 1,6,B6 00 14 00 00 00 00 05 
31:49.2,0x168,CAN 1,7,9E 00 18 00 00 00 00 06 
31:49.3,0x168,CAN 1,8,86 00 1C 00 00 00 00 07 
31:49.3,0x168,CAN 1,9,0E 00 20 00 00 00 00 08 
31:49.3,0x168,CAN 1,10,16 00 24 00 00 00 00 09 
31:49.3,0x168,CAN 1,11,3E 00 28 00 00 00 00 0A 
31:49.3,0x168,CAN 1,12,26 00 2C 00 00 00 00 0B 
31:49.4,0x168,CAN 1,13,6E 00 30 00 00 00 00 0C 
31:49.4,0x168,CAN 1,14,76 00 34 00 00 00 00 0D 
31:49.4,0x168,CAN 1,15,5E 00 38 00 00 00 00 0E 
31:49.4,0x168,CAN 1,16,FD 00 3C 00 00 00 00 00 
31:49.4,0x168,CAN 1,17,83 00 40 00 00 00 00 01 
31:49.5,0x168,CAN 1,18,A1 00 44 00 00 00 00 02 
31:49.5,0x168,CAN 1,19,B3 00 48 00 00 00 00 03 
31:49.5,0x168,CAN 1,20,E5 00 4C 00 00 00 00 04 
31:49.5,0x168,CAN 1,21,E3 00 50 00 00 00 00 05 
31:49.5,0x168,CAN 1,22,C1 00 54 00 00 00 00 06 
31:49.6,0x168,CAN 1,23,D3 00 58 00 00 00 00 07 
31:49.6,0x168,CAN 1,24,6D 00 5C 00 00 00 00 08 
31:49.6,0x168,CAN 1,25,43 00 60 00 00 00 00 09 
31:49.6,0x168,CAN 1,26,61 00 64 00 00 00 00 0A 
31:49.6,0x168,CAN 1,27,73 00 68 00 00 00 00 0B 
31:49.7,0x168,CAN 1,28,25 00 6C 00 00 00 00 0C 
31:49.7,0x168,CAN 1,29,23 00 70 00 00 00 00 0D 
31:49.7,0x168,CAN 1,30,01 00 74 00 00 00 00 0E 
31:49.7,0x168,CAN 1,31,A8 00 78 00 00 00 00 00 
31:49.7,0x168,CAN 1,32,B0 00 7C 00 00 00 00 01 
31:49.8,0x168,CAN 1,33,54 00 80 00 00 00 00 02 
31:49.8,0x168,CAN 1,34,4C 00 84 00 00 00 00 03 
31:49.8,0x168,CAN 1,35,10 00 88 00 00 00 00 04 
31:49.8,0x168,CAN 1,36,08 00 8C 00 00 00 00 05 
31:49.8,0x168,CAN 1,37,34 00 90 00 00 00 00 06 
